variable value N p se lwr upr
fastGWA 98 20000 0.098 0.00940191469861326 0.0791961706027735 0.116803829397227
fastGWA 177 30000 0.177 0.0120694241784768 0.152861151643046 0.201138848356954
fastGWA 232 40000 0.232 0.0133482583133531 0.205303483373294 0.258696516626706
fastGWA 278 50000 0.278 0.0141674274305535 0.249665145138893 0.306334854861107
fastGWA 346 60000 0.346 0.0150427391122761 0.315914521775448 0.376085478224552
fastGWA 359 70000 0.359 0.0151696736945789 0.328660652610842 0.389339347389158
fastGWA 424 80000 0.424 0.0156276677722557 0.392744664455489 0.455255335544511
fastGWA 433 90000 0.433 0.0156687906361659 0.401662418727668 0.464337581272332
fastGWA 445 1e+05 0.445 0.0157154382694216 0.413569123461157 0.476430876538843
fastGWA 455 110000 0.455 0.0157472219772251 0.42350555604555 0.48649444395445
fastGWA 473 120000 0.473 0.0157883184665119 0.441423363066976 0.504576636933024
fastGWA 519 130000 0.519 0.0157999683543987 0.487400063291203 0.550599936708797
fastGWA 515 140000 0.515 0.0158042715744826 0.483391456851035 0.546608543148965
fastGWA 521 150000 0.521 0.015797436500901 0.489405126998198 0.552594873001802
fastGWA 525 160000 0.525 0.0157916116973538 0.493416776605292 0.556583223394708
fastGWA 537 170000 0.537 0.0157680372906713 0.505463925418657 0.568536074581343
fastGWA 553 180000 0.553 0.0157223089907303 0.521555382018539 0.584444617981461
fastGWA 576 190000 0.577 0.0156227718411299 0.54575445631774 0.60824554368226
PGS-LMM 154 20000 0.154 0.0114142016803629 0.131171596639274 0.176828403360726
PGS-LMM 218 30000 0.218 0.0130566458173606 0.191886708365279 0.244113291634721
PGS-LMM 307 40000 0.307 0.0145859864253331 0.277828027149334 0.336171972850666
PGS-LMM 341 50000 0.341 0.0149906304070243 0.311018739185952 0.370981260814049
PGS-LMM 409 60000 0.409 0.0155473148807117 0.377905370238577 0.440094629761423
PGS-LMM 457 70000 0.457 0.0157528092732693 0.425494381453461 0.488505618546539
PGS-LMM 493 80000 0.493 0.0158098387088547 0.461380322582291 0.524619677417709
PGS-LMM 504 90000 0.504 0.0158108823283206 0.472378235343359 0.535621764656641
PGS-LMM 533 1e+05 0.533 0.0157769135131052 0.50144617297379 0.56455382702621
PGS-LMM 545 110000 0.545 0.0157472219772251 0.51350555604555 0.57649444395445
PGS-LMM 550 120000 0.55 0.0157321327225523 0.518535734554896 0.581464265445105
PGS-LMM 591 130000 0.591 0.0155473148807117 0.559905370238577 0.622094629761423
PGS-LMM 588 140000 0.588 0.0155645751628498 0.5568708496743 0.619129150325699
PGS-LMM 589 150000 0.589 0.0155588881350821 0.557882223729836 0.620117776270164
PGS-LMM 599 160000 0.599 0.0154983547513922 0.568003290497216 0.629996709502784
PGS-LMM 614 170000 0.614 0.015394934231753 0.583210131536494 0.644789868463506
PGS-LMM 613 180000 0.613 0.015402305022301 0.582195389955398 0.643804610044602
PGS-LMM 638 190000 0.638 0.0151972365909069 0.607605526818186 0.668394473181814
Bolt-LMM 126 20000 0.126 0.010493998284734 0.105012003430532 0.146987996569468
Bolt-LMM 199 30000 0.199 0.0126253316788115 0.173749336642377 0.224250663357623
Bolt-LMM 268 40000 0.268 0.0140062843038402 0.23998743139232 0.29601256860768
Bolt-LMM 322 50000 0.322 0.0147755202954075 0.292448959409185 0.351551040590815
Bolt-LMM 384 60000 0.384 0.0153799869960933 0.353240026007813 0.414759973992187
Bolt-LMM 400 70000 0.4 0.0154919333848297 0.369016133230341 0.430983866769659
Bolt-LMM 465 80000 0.465 0.0157726028289563 0.433454794342087 0.496545205657913
Bolt-LMM 468 90000 0.468 0.0157789733506334 0.436442053298733 0.499557946701267
Bolt-LMM 488 1e+05 0.488 0.0158068339650924 0.456386332069815 0.519613667930185
Bolt-LMM 497 110000 0.497 0.015811103693291 0.465377792613418 0.528622207386582
Bolt-LMM 516 120000 0.516 0.0158032907965398 0.48439341840692 0.54760658159308
Bolt-LMM 556 130000 0.556 0.0157119063133663 0.524576187373267 0.587423812626733
Bolt-LMM 556 140000 0.556 0.0157119063133663 0.524576187373267 0.587423812626733
Bolt-LMM 566 150000 0.566 0.0156730341670016 0.534653931665997 0.597346068334003
Bolt-LMM 576 160000 0.576 0.0156276677722557 0.544744664455489 0.607255335544511
Bolt-LMM 581 170000 0.581 0.0156025318458255 0.549794936308349 0.612205063691651
Bolt-LMM 585 180000 0.585 0.0155812387184075 0.553837522563185 0.616162477436815
Bolt-LMM 616 190000 0.616 0.0153799869960933 0.585240026007813 0.646759973992187
