variable value N p se lwr upr
fastGWA 37 40 0.925 0.0416458281223942 0.841708343755212 1.00829165624479
fastGWA 66 80 0.825 0.0424816136699161 0.740036772660168 0.909963227339832
fastGWA 90 120 0.75 0.0395284707521047 0.670943058495791 0.829056941504209
fastGWA 119 160 0.74375 0.034513216444936 0.674723567110128 0.812776432889872
fastGWA 140 200 0.7 0.0324037034920393 0.635192593015921 0.764807406984079
fastGWA 157 240 0.654166666666667 0.0307023776826872 0.592761911301292 0.715571422032041
fastGWA 191 280 0.682142857142857 0.0278275287383758 0.626487799666106 0.737797914619609
fastGWA 229 320 0.715625 0.0252181642977215 0.665188671404557 0.766061328595443
fastGWA 252 360 0.7 0.0241522945769824 0.651695410846035 0.748304589153965
fastGWA 259 400 0.6475 0.0238874313185826 0.599725137362835 0.695274862637165
fastGWA 264 440 0.6 0.0233549683248457 0.553290063350309 0.646709936649691
fastGWA 303 480 0.63125 0.0220214591128366 0.587207081774327 0.675292918225673
fastGWA 276 520 0.530769230769231 0.0218848935621509 0.486999443644929 0.574539017893533
fastGWA 329 560 0.5875 0.0208028050134729 0.545894389973054 0.629105610026946
fastGWA 328 600 0.546666666666667 0.0203233126491976 0.506020041368271 0.587313291965062
fastGWA 358 640 0.559375 0.0196243873063196 0.520126225387361 0.598623774612639
fastGWA 374 680 0.55 0.0190780132150938 0.511843973569812 0.588156026430188
fastGWA 380 720 0.527777777777778 0.018605121571676 0.490567534634426 0.56498802092113
fastGWA 390 760 0.513157894736842 0.0181306250729073 0.476896644591028 0.549419144882657
fastGWA 394 800 0.4925 0.0176756806799625 0.457148638640075 0.527851361359925
fastGWA 404 840 0.480952380952381 0.0172391162424233 0.446474148467534 0.515430613437228
fastGWA 400 880 0.454545454545455 0.0167852033153636 0.420975047914727 0.488115861176182
fastGWA 449 920 0.48804347826087 0.0164797979616382 0.455083882337593 0.521003074184146
fastGWA 420 960 0.4375 0.0160108605718119 0.405478278856376 0.469521721143624
fastGWA 435 1000 0.435 0.0156772127624779 0.403645574475044 0.466354425524956
fastGWA 473 1040 0.454807692307692 0.015440881530156 0.42392592924738 0.485689455368004
fastGWA 454 1080 0.42037037037037 0.015020329497947 0.390329711374476 0.450411029366264
fastGWA 497 1120 0.44375 0.0148455121134542 0.414058975773092 0.473441024226908
fastGWA 508 1160 0.437931034482759 0.0145669513625766 0.408797131757605 0.467064937207912
fastGWA 503 1200 0.419166666666667 0.0142438867653876 0.390678893135891 0.447654440197442
fastGWA 503 1240 0.405645161290323 0.0139439304755334 0.377757300339256 0.433533022241389
fastGWA 494 1280 0.3859375 0.013606918796544 0.358723662406912 0.413151337593088
fastGWA 516 1320 0.390909090909091 0.0134304937281963 0.364048103452698 0.417770078365484
fastGWA 530 1360 0.389705882352941 0.0132241759337513 0.363257530485439 0.416154234220444
fastGWA 536 1400 0.382857142857143 0.012991138491306 0.356874865874531 0.408839419839755
fastGWA 516 1440 0.358333333333333 0.0126362176664372 0.333060898000459 0.383605768666208
fastGWA 536 1480 0.362162162162162 0.0124932611689368 0.337175639824289 0.387148684500036
fastGWA 517 1520 0.340131578947368 0.0121515130081916 0.315828552930985 0.364434604963752
fastGWA 552 1560 0.353846153846154 0.0121063411349558 0.329633471576242 0.378058836116065
fastGWA 544 1600 0.34 0.011842719282327 0.316314561435346 0.363685438564654
fastGWA 544 1640 0.331707317073171 0.0116262311929535 0.308454854687264 0.354959779459078
fastGWA 544 1680 0.323809523809524 0.0114162821302925 0.300976959548939 0.346642088070109
fastGWA 562 1720 0.326744186046512 0.011309144862376 0.30412589632176 0.349362475771264
fastGWA 569 1760 0.323295454545455 0.0111491821860625 0.30099709017333 0.34559381891758
fastGWA 567 1800 0.315 0.0109487442202291 0.293102511559542 0.336897488440458
fastGWA 579 1840 0.314673913043478 0.010826051547816 0.293021809947846 0.33632601613911
fastGWA 583 1880 0.310106382978723 0.0106676188846119 0.2887711452095 0.331441620747947
fastGWA 553 1920 0.288020833333333 0.0103346311239632 0.267351571085407 0.30869009558126
fastGWA 576 1960 0.293877551020408 0.0102895215182643 0.27329850798388 0.314456594056937
fastGWA 572 2000 0.286 0.010104553429024 0.265790893141952 0.306209106858048
PGS-LMM 37 40 0.925 0.0416458281223942 0.841708343755212 1.00829165624479
PGS-LMM 68 80 0.85 0.0399217985566783 0.770156402886643 0.929843597113357
PGS-LMM 96 120 0.8 0.0365148371670111 0.726970325665978 0.873029674334022
PGS-LMM 128 160 0.8 0.0316227766016838 0.736754446796632 0.863245553203368
PGS-LMM 152 200 0.76 0.030199337741083 0.699601324517834 0.820398675482166
PGS-LMM 173 240 0.720833333333333 0.0289563348630952 0.662920663607143 0.778746003059524
PGS-LMM 208 280 0.742857142857143 0.0261192600094305 0.690618622838282 0.795095662876004
PGS-LMM 249 320 0.778125 0.0232275755013707 0.731669848997259 0.824580151002741
PGS-LMM 267 360 0.741666666666667 0.0230697747317315 0.695527117203204 0.78780621613013
PGS-LMM 275 400 0.6875 0.0231756202721739 0.641148759455652 0.733851240544348
PGS-LMM 285 440 0.647727272727273 0.0227724241579273 0.602182424411418 0.693272121043127
PGS-LMM 334 480 0.695833333333333 0.0209984774029152 0.653836378527503 0.737830288139164
PGS-LMM 314 520 0.603846153846154 0.0214483268278473 0.560949500190459 0.646742807501848
PGS-LMM 368 560 0.657142857142857 0.0200582242862133 0.617026408570431 0.697259305715284
PGS-LMM 361 600 0.601666666666667 0.0199859904636927 0.561694685739281 0.641638647594052
PGS-LMM 396 640 0.61875 0.0191987319527554 0.580352536094489 0.657147463905511
PGS-LMM 416 680 0.611764705882353 0.01868896538693 0.574386775108493 0.649142636656213
PGS-LMM 432 720 0.6 0.0182574185835055 0.563485162832989 0.636514837167011
PGS-LMM 424 760 0.557894736842105 0.0180149133923588 0.521864910057388 0.593924563626823
PGS-LMM 445 800 0.55625 0.0175654468168333 0.521119106366333 0.591380893633667
PGS-LMM 460 840 0.547619047619048 0.0171732220367535 0.513272603545541 0.581965491692555
PGS-LMM 474 880 0.538636363636364 0.0168045999994644 0.505027163637435 0.572245563635292
PGS-LMM 532 920 0.578260869565217 0.0162813322115056 0.545698205142206 0.610823533988229
PGS-LMM 461 960 0.480208333333333 0.0161247832650343 0.447958766803265 0.512457899863402
PGS-LMM 503 1000 0.503 0.015811103693291 0.471377792613418 0.534622207386582
PGS-LMM 567 1040 0.545192307692308 0.015440881530156 0.514310544631996 0.57607407075262
PGS-LMM 539 1080 0.499074074074074 0.0152144893982427 0.468645095277589 0.52950305287056
PGS-LMM 574 1120 0.5125 0.014935688025187 0.482628623949626 0.542371376050374
PGS-LMM 568 1160 0.489655172413793 0.0146773630695136 0.460300446274766 0.51900989855282
PGS-LMM 606 1200 0.505 0.0144330350238611 0.476133929952278 0.533866070047722
PGS-LMM 605 1240 0.487903225806452 0.0141948896998893 0.459513446406673 0.51629300520623
PGS-LMM 578 1280 0.4515625 0.013909692231098 0.423743115537804 0.479381884462196
PGS-LMM 627 1320 0.475 0.0137448337401896 0.447510332519621 0.502489667480379
PGS-LMM 643 1360 0.472794117647059 0.0135380683294259 0.445717980988207 0.499870254305911
PGS-LMM 641 1400 0.457857142857143 0.0133155113520134 0.431226120153116 0.48448816556117
PGS-LMM 604 1440 0.419444444444444 0.0130040272199384 0.393436390004568 0.445452498884321
PGS-LMM 650 1480 0.439189189189189 0.0129003992523731 0.413388390684443 0.464989987693936
PGS-LMM 661 1520 0.434868421052632 0.0127154557171428 0.409437509618346 0.460299332486917
PGS-LMM 671 1560 0.430128205128205 0.0125350261135572 0.405058152901091 0.455198257355319
PGS-LMM 679 1600 0.424375 0.0123561942809821 0.399662611438036 0.449087388561964
PGS-LMM 680 1640 0.414634146341463 0.0121653413891816 0.3903034635631 0.438964829119827
PGS-LMM 691 1680 0.411309523809524 0.0120053063523987 0.387298911104726 0.435320136514321
PGS-LMM 722 1720 0.419767441860465 0.0118998421089385 0.395967757642588 0.443567126078342
PGS-LMM 707 1760 0.401704545454545 0.0116857042523144 0.378333136949917 0.425075953959174
PGS-LMM 716 1800 0.397777777777778 0.0115361898505902 0.374705398076597 0.420850157478958
