method value p se lwr upr h2
fastGWA 13 0.013 0.00358203852575597 0.00583592294848806 0.0201640770515119 0.02
fastGWA 36 0.036 0.00589101010014412 0.0242179797997118 0.0477820202002882 0.04
fastGWA 65 0.065 0.00779583221984671 0.0494083355603066 0.0805916644396934 0.06
fastGWA 112 0.112 0.00997276290703835 0.0920544741859233 0.131945525814077 0.08
fastGWA 126 0.126 0.010493998284734 0.105012003430532 0.146987996569468 0.1
fastGWA 171 0.171 0.0119062588582644 0.147187482283471 0.194812517716529 0.12
fastGWA 171 0.171 0.0119062588582644 0.147187482283471 0.194812517716529 0.14
fastGWA 213 0.213 0.0129472390879291 0.187105521824142 0.238894478175858 0.16
fastGWA 228 0.228 0.0132671021704063 0.201465795659187 0.254534204340813 0.18
fastGWA 250 0.25 0.0136930639376292 0.222613872124742 0.277386127875258 0.2
fastGWA 285 0.285 0.0142749781085647 0.256450043782871 0.313549956217129 0.22
fastGWA 290 0.29 0.0143492160064583 0.261301567987083 0.318698432012917 0.24
fastGWA 323 0.323 0.0147875285291356 0.293424942941729 0.352575057058271 0.26
fastGWA 319 0.319 0.0147390298188178 0.289521940362364 0.348478059637636 0.28
fastGWA 345 0.345 0.0150324648677454 0.314935070264509 0.375064929735491 0.3
fastGWA 373 0.373 0.0152928414625929 0.342414317074814 0.403585682925186 0.32
fastGWA 378 0.378 0.0153334927527945 0.347333014494411 0.408666985505589 0.34
fastGWA 369 0.369 0.0152590628807932 0.338481874238414 0.399518125761586 0.36
fastGWA 393 0.393 0.015445096309185 0.36210980738163 0.42389019261837 0.38
fastGWA 414 0.414 0.0155757503832079 0.382848499233584 0.445151500766416 0.4
fastGWA 404 0.404 0.0155172162451904 0.372965567509619 0.435034432490381 0.42
fastGWA 439 0.439 0.0156932788161047 0.407613442367791 0.470386557632209 0.44
fastGWA 442 0.442 0.0157046489932122 0.410590702013576 0.473409297986424 0.46
fastGWA 441 0.441 0.0157009235397157 0.409598152920569 0.472401847079432 0.48
fastGWA 451 0.451 0.015735278834517 0.419529442330966 0.482470557669034 0.5
fastGWA 467 0.467 0.0157769135131052 0.43544617297379 0.49855382702621 0.52
fastGWA 475 0.475 0.0157916116973538 0.443416776605292 0.506583223394708 0.54
fastGWA 469 0.469 0.0157809695519635 0.437438060896073 0.500561939103927 0.56
fastGWA 515 0.515 0.0158042715744826 0.483391456851035 0.546608543148965 0.58
fastGWA 493 0.493 0.0158098387088547 0.461380322582291 0.524619677417709 0.6
fastGWA 506 0.506 0.0158102498398982 0.474379500320204 0.537620499679796 0.62
fastGWA 496 0.496 0.0158108823283206 0.464378235343359 0.527621764656641 0.64
fastGWA 499 0.499 0.0158113566780337 0.467377286643933 0.530622713356067 0.66
fastGWA 514 0.514 0.0158051890213309 0.482389621957338 0.545610378042662 0.68
fastGWA 518 0.518 0.0158011391994375 0.486397721601125 0.549602278398875 0.7
fastGWA 535 0.535 0.0157726028289563 0.503454794342087 0.566545205657913 0.72
fastGWA 532 0.532 0.0157789733506334 0.500442053298733 0.563557946701267 0.74
fastGWA 532 0.532 0.0157789733506334 0.500442053298733 0.563557946701267 0.76
fastGWA 542 0.542 0.0157555069737537 0.510488986052493 0.573511013947507 0.78
fastGWA 558 0.558 0.0157046489932122 0.526590702013576 0.589409297986424 0.8
fastGWA 568 0.568 0.0156644821171975 0.536671035765605 0.599328964234395 0.82
fastGWA 552 0.552 0.0157256478403912 0.520548704319218 0.583451295680782 0.84
fastGWA 575 0.575 0.0156324982008635 0.543735003598273 0.606264996401727 0.86
fastGWA 572 0.572 0.0156465970741245 0.540706805851751 0.603293194148249 0.88
fastGWA 558 0.558 0.0157046489932122 0.526590702013576 0.589409297986424 0.9
fastGWA 570 0.57 0.0156556698994326 0.538688660201135 0.601311339798865 0.92
fastGWA 585 0.585 0.0155812387184075 0.553837522563185 0.616162477436815 0.94
fastGWA 595 0.595 0.0155233694795943 0.563953261040811 0.626046738959189 0.96
fastGWA-PGS 16 0.016 0.00396787096564392 0.00806425806871216 0.0239357419312878 0.02
fastGWA-PGS 38 0.038 0.00604615580348373 0.0259076883930325 0.0500923116069675 0.04
fastGWA-PGS 67 0.067 0.00790638982089803 0.0511872203582039 0.0828127796417961 0.06
fastGWA-PGS 118 0.118 0.0102017645532525 0.0975964708934949 0.138403529106505 0.08
fastGWA-PGS 128 0.128 0.0105648473723003 0.106870305255399 0.149129694744601 0.1
fastGWA-PGS 186 0.186 0.01230463327369 0.16139073345262 0.21060926654738 0.12
fastGWA-PGS 187 0.187 0.0123300851578568 0.162339829684286 0.211660170315714 0.14
