Set Threshold R2 P Coefficient Standard.Error Num_SNP se SE
fastGWA 0.001 0.126445 0 8956.95 80.3402 15750 0.00106001221527735 0.00106001375826128
fastGWA 0.05 0.129396 0 29309.8 259.443 72216 0.00106868784430972 0.00106868939992214
fastGWA 0.1 0.127751 0 38291.1 341.441 102173 0.00106387945012857 0.00106388099874176
fastGWA 0.2 0.124525 0 50802.5 459.682 146710 0.00105424563094874 0.00105424716553866
fastGWA 0.3 0.122392 0 60425.1 552.167 181560 0.00104772395831061 0.0010477254834074
fastGWA 0.4 0.121194 0 68467 629.167 210075 0.00104400687577624 0.00104400839546234
fastGWA 0.5 0.120516 0 75436.4 695.428 234062 0.00104188571381894 0.00104188723041741
fastGWA 1 0.119778 0 98363.4 909.957 308664 0.00103956232872925 0.00103956384194574
fastGWA-PGS 0.001 0.129965 0 11044.8 97.5198 17856 0.00107033497065166 0.00107033652866169
fastGWA-PGS 0.05 0.138396 0 35483.6 302.134 75015 0.00109380338057437 0.00109380497274568
fastGWA-PGS 0.1 0.136613 0 46177.4 396.156 104600 0.00108898351431892 0.0010889850994743
fastGWA-PGS 0.2 0.134239 0 61509.5 533.066 148690 0.00108244828853187 0.00108244986417439
fastGWA-PGS 0.3 0.132483 0 73303.1 640.119 182929 0.00107752624450391 0.00107752781298176
fastGWA-PGS 0.4 0.13189 0 83306.7 729.357 211325 0.00107584691507521 0.00107584848110858
fastGWA-PGS 0.5 0.131489 0 91872.9 805.766 235114 0.00107470636325106 0.00107470792762421
fastGWA-PGS 1 0.130944 0 119548 1051 308679 0.0010731498018942 0.00107315136400157
