Method PIP R2 SE
fastGWA 0 0.183895388188421 0.00238845881308399
fastGWA-PGS 0 0.19375153651258 0.00242202143998831
fastGWA 0.01 0.183894767135408 0.00238845659752573
fastGWA-PGS 0.01 0.193751657726167 0.0024220218334795
fastGWA 0.05 0.183154053225866 0.00238580492669792
fastGWA-PGS 0.05 0.193354639872181 0.00242073051473941
fastGWA 0.1 0.177639505788451 0.00236547587214164
fastGWA-PGS 0.1 0.189115205146352 0.0024066275644511
fastGWA 0.2 0.159256742587809 0.00228980665319203
fastGWA-PGS 0.2 0.172868875853146 0.00234703341501999
fastGWA 0.3 0.138870827629455 0.00219008171627388
fastGWA-PGS 0.3 0.15314131667064 0.00226174500018381
fastGWA 0.4 0.120181302816413 0.00208160415667054
fastGWA-PGS 0.4 0.133092832537243 0.00215842236931587
fastGWA 0.5 0.101635016967378 0.00195461399070516
fastGWA-PGS 0.5 0.112813845043437 0.0020336792720886
fastGWA 0.6 0.0824156153050663 0.00179778301290466
fastGWA-PGS 0.6 0.0953795097348959 0.00190669166941279
fastGWA 0.7 0.0648714602739827 0.00162549131858269
fastGWA-PGS 0.7 0.0782029264936574 0.00175927338815808
