Method PIP R2 SE
fastGWA 0 0.126224378413759 0.00105935607627404
fastGWA-PGS 0 0.130519646472114 0.00107193422051569
fastGWA 0.01 0.126224084365776 0.0010593551988537
fastGWA-PGS 0.01 0.130519671434835 0.00107193429224768
fastGWA 0.05 0.123298306428984 0.00105051151958316
fastGWA-PGS 0.05 0.128633406906688 0.00106646893569222
fastGWA 0.1 0.113606211025913 0.00101952565799812
fastGWA-PGS 0.1 0.11860701586268 0.00103584600820589
fastGWA 0.2 0.0883879070330189 0.000924861967704772
fastGWA-PGS 0.2 0.0940563160896497 0.000948125007971513
fastGWA 0.3 0.0692202710518432 0.000835668403967403
fastGWA-PGS 0.3 0.0753349918303266 0.000866070435737932
fastGWA 0.4 0.0534316074675971 0.00074665767987552
fastGWA-PGS 0.4 0.0605606412179865 0.000788922608101507
fastGWA 0.5 0.0420639503151751 0.000670443157941123
fastGWA-PGS 0.5 0.0488674847328415 0.000717499230357545
fastGWA 0.6 0.0315544868254489 0.000587051456800861
fastGWA-PGS 0.6 0.0393203823406582 0.000650066611529005
fastGWA 0.7 0.0242236841258654 0.000518251762743885
fastGWA-PGS 0.7 0.0279588281018607 0.000554644307758089
